"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30833","irctc-1","chromium","2026-06-12","broken","2026-06-12","","myntra.spec.js","",""
"","28118","irctc-1","firefox","2026-06-12","passed","2026-06-12","","myntra.spec.js","",""
